target,stat,ours,ds3_ref
e_barrier_dft,n,400.0,3510.0
e_barrier_dft,mean,3.8729522309590707,5.92
e_barrier_dft,std,12.07717846931114,8.49
e_barrier_dft,min,-51.88871438176812,-14.81
e_barrier_dft,max,68.39699999999999,44.65
sum_distortion_energies_dft,n,400.0,3510.0
sum_distortion_energies_dft,mean,44.58202723095908,27.13
sum_distortion_energies_dft,std,34.93652026315516,
sum_distortion_energies_dft,min,0.6234088748737824,2.47
sum_distortion_energies_dft,max,150.587,79.15
interaction_energies_dft,n,400.0,3510.0
interaction_energies_dft,mean,40.709075000000006,21.21
interaction_energies_dft,std,34.37799034913892,
interaction_energies_dft,min,-3.94,5.81
interaction_energies_dft,max,123.26,49.36
