,,MAE,MAE,RMSE,RMSE,NMAE,NMAE,R2_det,R2_det
,,mean,std,mean,std,mean,std,mean,std
model,channel,,,,,,,,
m1,Pauli,70.576,5.992,107.778,9.85,0.714,0.049,0.26,0.109
m1,Velst,31.125,2.884,44.651,4.213,0.753,0.063,0.258,0.131
m1,barrier,20.318,1.583,27.221,2.119,0.628,0.038,0.592,0.03
m1,disp,1.693,0.158,2.207,0.251,0.318,0.025,0.893,0.019
m1,oi,55.225,6.217,88.286,11.664,0.736,0.047,0.193,0.097
m1,strain,16.995,1.297,27.058,4.973,0.803,0.043,0.161,0.103
m2,Pauli,74.629,6.051,105.176,8.747,0.755,0.049,0.297,0.088
m2,Velst,31.821,2.817,43.377,3.557,0.77,0.059,0.302,0.104
m2,barrier,18.077,1.313,24.455,1.92,0.559,0.031,0.67,0.032
m2,disp,1.516,0.077,1.998,0.16,0.285,0.014,0.912,0.014
m2,oi,59.851,5.322,86.668,8.648,0.8,0.063,0.219,0.069
m2,strain,16.702,1.794,26.452,5.403,0.788,0.062,0.2,0.13
m3,Pauli,74.562,5.987,104.199,9.301,0.755,0.051,0.308,0.1
m3,Velst,31.645,3.291,42.798,4.16,0.765,0.068,0.318,0.124
m3,barrier,18.329,1.311,24.537,1.74,0.567,0.036,0.667,0.033
m3,disp,1.523,0.076,2.004,0.155,0.286,0.015,0.912,0.014
m3,oi,59.597,4.9,85.36,8.941,0.797,0.051,0.244,0.061
m3,strain,16.904,1.564,24.793,3.737,0.798,0.051,0.282,0.134
