model,channel,NMAE,RMSE,R2,slope
ridge,strain,0.7857031647086455,23.64223289489746,0.20893017986953932,0.3234668663114673
ridge,Pauli,0.7698703625620412,110.05679321289062,0.02699503688999416,0.3676858464408961
ridge,elst,0.756619378591599,46.25362014770508,0.2577450846921113,0.3818071070687751
ridge,oi,0.7838337867865065,74.3393783569336,0.026089946357576,0.3664409697718167
ridge,disp,0.22671794690893374,1.9124703407287598,0.9363361194807444,0.9352881708430912
ridge,barrier_direct,0.5016732387521795,22.051115036010742,0.6126107304108515,0.6744404807699403
lasso,strain,0.8513827254261752,24.343124389648438,0.16133122928139954,0.21842792201086206
lasso,Pauli,0.9416746046615596,149.1039581298828,-0.7859104983896601,0.17034418842840923
lasso,elst,0.8662538083274083,52.29705810546875,0.051109343595060586,0.22156838286364872
lasso,oi,0.9447564407074541,87.82658386230469,-0.3593553007506034,0.13163095576989614
lasso,disp,0.22633692447192572,1.902862310409546,0.9369741938807769,0.9305762435520626
lasso,barrier_direct,0.5314192715553546,27.87559700012207,0.38093699639740164,0.6473415878574886
enet,strain,0.8308117940506524,23.401874542236328,0.22493318639621906,0.22829062270529496
enet,Pauli,0.8498004956913198,130.51885986328125,-0.3684467362148025,0.24643597376913962
enet,elst,0.8314502191772857,46.17390441894531,0.26030135105439556,0.2330383287942001
enet,oi,0.8696500643254049,82.48716735839844,-0.19909547888192214,0.22085230716019225
enet,disp,0.2268341670322815,1.9050962924957275,0.9368261219796596,0.9291727503979689
enet,barrier_direct,0.5264274236773667,25.891191482543945,0.4659394202668855,0.64784618903872
xgb,strain,0.6042939346767402,19.777408599853516,0.4464248709151828,0.48517505129994437
xgb,Pauli,0.4279727399805681,65.3051986694336,0.6574082729404087,0.6476640132702944
xgb,elst,0.42012521621569465,30.54755401611328,0.6762464620804096,0.6728620637776721
xgb,oi,0.40484326120870845,43.43794250488281,0.6674786857066746,0.6644098112687357
xgb,disp,0.18557518526182873,2.112344980239868,0.9223335634373999,0.9274524242281926
xgb,barrier_direct,0.4174685600312766,18.090906143188477,0.7392603332074611,0.7471042058546955
ridge,barrier_sum,0.5030643856108664,22.582773208618164,0.5937054467603725,0.6814853266865945
lasso,barrier_sum,0.7179283421268156,45.869686126708984,-0.676246881132863,0.46941108794363146
enet,barrier_sum,0.5983524072563213,41.22943115234375,-0.3542570430973939,0.6141915232263163
xgb,barrier_sum,0.5567596864626144,23.576183319091797,0.5571736430581886,0.8070109662849541
