descriptor,R2_on_others,VIF,flag
d1,0.8355993995961021,6.082702846237842,moderate
d2,0.7358652219268766,3.7859459753654967,ok
d3,0.9948419038656877,193.86998108621475,severe
d4,0.984966964152736,66.52016333626973,severe
d5,0.9973777391400728,381.3503131140628,severe
d6,0.9962631920877085,267.608082478819,severe
d7,0.9999999989981726,998175934.4785737,severe
d8,0.9999999999999959,1000000000000.0,severe
d9,0.9999999999999842,1000000000000.0,severe
d10,0.9999999999999906,1000000000000.0,severe
d11,0.9999999999999672,1000000000000.0,severe
d12,0.9999999999999585,1000000000000.0,severe
d13,0.9999999999999956,1000000000000.0,severe
d14,0.9999999999999963,1000000000000.0,severe
d15,0.9537241978502243,21.60956598360873,severe
d16,0.9012387941485133,10.12543327492134,severe
d17,0.788948912681455,4.73818928253458,ok
d18,0.7475562698166267,3.961278813593854,ok
d19,0.9581323406540407,23.884783998475715,severe
d20,0.7873604355472343,4.702793680816316,ok
d21,0.8355823281003849,6.082071278874135,moderate
d22,0.22926066315496818,1.2974555108260477,ok
d23,0.8456604326999311,6.4792199271609165,moderate
d24,0.8845404836651323,8.661044422702203,moderate
d25,0.5626750035379608,2.286628955788038,ok
d26,0.8795185015779674,8.30002957381155,moderate
d27,0.854641754715673,6.879554703236526,moderate
d28,0.043740430876707426,1.045741169332098,ok
