delta,channel,point,ci_low,ci_high
NMAE(xgb28_delta) - NMAE(ridge_delta),strain,-0.24859898382281143,-0.2778542465863718,-0.224033922061047
NMAE(xgb28_delta) - NMAE(ridge_delta),Pauli,-0.1756862684257754,-0.20340173615218615,-0.1510691500269438
NMAE(xgb28_delta) - NMAE(ridge_delta),elst,-0.16597755316131602,-0.19514824492581168,-0.13793264370806885
NMAE(xgb28_delta) - NMAE(ridge_delta),oi,-0.1796738076583445,-0.20186575930445183,-0.1583653718056478
NMAE(xgb28_delta) - NMAE(ridge_delta),disp,-0.07712822669745789,-0.09225601390839017,-0.06277877985364416
NMAE(xgb28_delta) - NMAE(ridge_delta),barrier,-0.07108510691478426,-0.10039696340538629,-0.0449940325265164
NMAE(xgb28_delta) - NMAE(xgb_delta),strain,-0.16359564180613506,-0.18613235124457062,-0.14147882377156462
NMAE(xgb28_delta) - NMAE(xgb_delta),Pauli,-0.06438403747390065,-0.08347187638224274,-0.04575887887121319
NMAE(xgb28_delta) - NMAE(xgb_delta),elst,-0.03981926600996938,-0.05726096728894209,-0.02123776011952555
NMAE(xgb28_delta) - NMAE(xgb_delta),oi,-0.06459872443423728,-0.07963912124821829,-0.049292221087195304
NMAE(xgb28_delta) - NMAE(xgb_delta),disp,-0.013415596893752713,-0.02035790575384555,-0.0069863293599545795
NMAE(xgb28_delta) - NMAE(xgb_delta),barrier,-0.09354887881866836,-0.12041737039877776,-0.0675417758722826
NMAE(xgb28_delta) - NMAE(xgb_24d),strain,-0.1657568521796976,-0.18910980428294305,-0.14403770912318126
NMAE(xgb28_delta) - NMAE(xgb_24d),Pauli,-0.06656722193738202,-0.0862367559856004,-0.0479278744856487
NMAE(xgb28_delta) - NMAE(xgb_24d),elst,-0.04188568541841775,-0.06017493039820465,-0.023375116678295116
NMAE(xgb28_delta) - NMAE(xgb_24d),oi,-0.06574109309892723,-0.08084409946395593,-0.050568762580327165
NMAE(xgb28_delta) - NMAE(xgb_24d),disp,-0.014465497639958969,-0.02175875696882784,-0.00735870601061106
NMAE(xgb28_delta) - NMAE(xgb_24d),barrier,-0.09554185791940167,-0.12190459869298037,-0.06949025642662765
